month,stock,marketcap,rank,excess_returns
2001-06-29T00:00:00Z,TWX,225,6,0.012720421
2001-06-29T00:00:00Z,PFE,246,5,-0.069016704
2001-06-29T00:00:00Z,C,265,4,0.028221795
2001-06-29T00:00:00Z,XOM,301,3,-0.018351758
2001-06-29T00:00:00Z,MSFT,392,2,0.052418425
2001-06-29T00:00:00Z,GE,485,1,-0.004839874
2001-07-31T00:00:00Z,IBM,182,10,-0.071937998
2001-07-31T00:00:00Z,AIG,194,9,-0.023704317
2001-07-31T00:00:00Z,TWX,194,8,-0.145452987
2001-07-31T00:00:00Z,INTC,200,7,0.016145393
2001-07-31T00:00:00Z,WMT,249,6,0.14249251
2001-07-31T00:00:00Z,C,252,5,-0.052771808
2001-07-31T00:00:00Z,PFE,254,4,0.026213637
2001-07-31T00:00:00Z,XOM,288,3,-0.046847884
2001-07-31T00:00:00Z,MSFT,356,2,-0.096287799
2001-07-31T00:00:00Z,GE,432,1,-0.110493229
2001-08-31T00:00:00Z,JNJ,164,10,-0.02553129
2001-08-31T00:00:00Z,IBM,173,9,-0.051820701
2001-08-31T00:00:00Z,AIG,182,8,-0.063278767
2001-08-31T00:00:00Z,INTC,188,7,-0.064567744
2001-08-31T00:00:00Z,WMT,214,6,-0.143529866
2001-08-31T00:00:00Z,C,230,5,-0.088072034
2001-08-31T00:00:00Z,PFE,236,4,-0.071216388
2001-08-31T00:00:00Z,XOM,277,3,-0.036254221
2001-08-31T00:00:00Z,MSFT,307,2,-0.141187314
2001-08-31T00:00:00Z,GE,407,1,-0.061031025
2001-09-28T00:00:00Z,T,158,10,0.148994878
2001-09-28T00:00:00Z,IBM,159,9,-0.085139666
2001-09-28T00:00:00Z,JNJ,172,8,0.048234463
2001-09-28T00:00:00Z,AIG,181,7,-0.005357618
2001-09-28T00:00:00Z,C,203,6,-0.118521446
2001-09-28T00:00:00Z,WMT,221,5,0.028963832
2001-09-28T00:00:00Z,PFE,247,4,0.04392416
2001-09-28T00:00:00Z,XOM,272,3,-0.021479191
2001-09-28T00:00:00Z,MSFT,275,2,-0.105867247
2001-09-28T00:00:00Z,GE,369,1,-0.09094659
2001-10-31T00:00:00Z,INTC,163,10,0.19251697
2001-10-31T00:00:00Z,JNJ,176,9,0.043106574
2001-10-31T00:00:00Z,IBM,186,8,0.176053528
2001-10-31T00:00:00Z,AIG,206,7,0.005492529
2001-10-31T00:00:00Z,WMT,229,6,0.036183627
2001-10-31T00:00:00Z,C,234,5,0.12175277
2001-10-31T00:00:00Z,PFE,258,4,0.042688681
2001-10-31T00:00:00Z,XOM,272,3,-9.31E-04
2001-10-31T00:00:00Z,MSFT,313,2,0.134207841
2001-10-31T00:00:00Z,GE,361,1,-0.023436423
2001-11-30T00:00:00Z,JNJ,177,10,0.00719227
2001-11-30T00:00:00Z,IBM,199,9,0.069203979
