month,stock,marketcap,rank,excess_returns
2019-11-29T00:00:00Z,NOV,8,79,-0.004291269
2019-12-31T00:00:00Z,NOV,9,79,0.111926823
1999-12-31T00:00:00Z,SPG,3,80,NA
2000-01-31T00:00:00Z,PEP,3,80,0.24508418
2000-02-29T00:00:00Z,GILD,3,80,0.629908591
2000-03-31T00:00:00Z,EOG,2,80,0.384677827
2000-04-28T00:00:00Z,CELG,3,80,0.413483534
2000-05-31T00:00:00Z,EOG,3,80,0.301526458
2000-06-30T00:00:00Z,PEP,4,80,0.114128462
2000-07-31T00:00:00Z,SPG,4,80,0.172674623
2000-08-31T00:00:00Z,EOG,4,80,0.288878963
2000-09-29T00:00:00Z,GILD,5,80,0.010537598
2000-10-31T00:00:00Z,PX,5,80,-0.008968937
2000-11-30T00:00:00Z,PEP,5,80,0.1230684
2000-12-29T00:00:00Z,MON,6,80,0.074780389
2001-01-31T00:00:00Z,AAPL,7,80,0.448403749
2001-02-28T00:00:00Z,AAPL,6,80,-0.159874625
2001-03-30T00:00:00Z,BIIB,5,80,-0.294667995
2001-04-30T00:00:00Z,MON,7,80,-0.128189687
2001-05-31T00:00:00Z,YUM,6,80,0.016443104
2001-06-29T00:00:00Z,YUM,6,80,-0.042211206
2001-07-31T00:00:00Z,SBUX,6,80,-0.218654084
2001-08-31T00:00:00Z,PEP,6,80,0.009993532
2001-09-28T00:00:00Z,GILD,5,80,-0.077566511
2001-10-31T00:00:00Z,A,6,80,0.200357187
2001-11-30T00:00:00Z,GILD,6,80,0.14632891
2001-12-31T00:00:00Z,AAPL,7,80,0.026649061
2002-01-31T00:00:00Z,AAPL,8,80,0.127374263
2002-02-28T00:00:00Z,A,7,80,0.086551566
2002-03-29T00:00:00Z,AAPL,8,80,0.089512902
2002-04-30T00:00:00Z,MON,8,80,-0.022911843
2002-05-31T00:00:00Z,AAPL,8,80,-0.041349185
2002-06-28T00:00:00Z,HAL,6,80,-0.136018441
2002-07-31T00:00:00Z,BIIB,6,80,0.256326432
2002-08-30T00:00:00Z,BIIB,6,80,-0.100302256
2017-01-31T00:00:00Z,TGT,35,80,-0.107695895
2017-02-28T00:00:00Z,EBAY,36,80,0.064633897
2017-03-31T00:00:00Z,DE,34,80,-5.39E-04
2017-04-28T00:00:00Z,DE,35,80,0.024761736
2017-05-31T00:00:00Z,PX,37,80,0.057886339
2017-06-30T00:00:00Z,PX,37,80,0.007279965
2017-07-31T00:00:00Z,PX,37,80,-0.018730889
2017-08-31T00:00:00Z,EMR,37,80,-0.002542582
2017-09-29T00:00:00Z,EMR,40,80,0.063463268
2017-10-31T00:00:00Z,EBAY,39,80,-0.022221264
2017-11-30T00:00:00Z,EXC,40,80,0.044518064
2017-12-29T00:00:00Z,HAL,42,80,0.17365137
2018-01-31T00:00:00Z,EBAY,41,80,0.07415153
2018-02-28T00:00:00Z,TGT,40,80,0.00995689
2018-03-30T00:00:00Z,EXC,37,80,0.051984622
2018-04-30T00:00:00Z,TGT,38,80,0.0442579
2018-05-31T00:00:00Z,TGT,38,80,0.011112027
2018-06-29T00:00:00Z,APC,37,80,0.051700842
2018-07-31T00:00:00Z,APC,37,80,-0.002964637
2018-08-31T00:00:00Z,EBAY,34,80,0.03307811
2018-09-28T00:00:00Z,APC,34,80,0.049424189
2018-10-31T00:00:00Z,APC,26,80,-0.212699035
2018-11-30T00:00:00Z,APC,26,80,-0.007437779
2018-12-31T00:00:00Z,APC,22,80,-0.168353627
2019-01-31T00:00:00Z,FCX,16,80,0.131757182
2019-02-28T00:00:00Z,FCX,18,80,0.106467477
2019-03-29T00:00:00Z,FCX,18,80,-0.002667923
2019-04-30T00:00:00Z,FCX,17,80,-0.043599698
2019-05-31T00:00:00Z,FCX,14,80,-0.213313562
2019-06-28T00:00:00Z,FCX,16,80,0.193872693
2019-07-31T00:00:00Z,FCX,16,80,-0.044953194
2019-08-30T00:00:00Z,A,8,80,-0.118307653
2019-09-30T00:00:00Z,A,9,80,0.185033789
2019-10-31T00:00:00Z,NOV,8,80,0.06548739
2019-11-29T00:00:00Z,A,8,80,0.027424271
2019-12-31T00:00:00Z,A,9,80,0.147164134
1999-12-31T00:00:00Z,EOG,2,81,NA
2000-01-31T00:00:00Z,GILD,2,81,-0.139201766
2000-02-29T00:00:00Z,APC,3,81,-0.067145183
2000-03-31T00:00:00Z,NOV,2,81,0.268532889
2000-04-28T00:00:00Z,PEP,3,81,0.073577303
2000-05-31T00:00:00Z,PEP,3,81,0.206517276
2000-06-30T00:00:00Z,EOG,3,81,0.02676218
2000-07-31T00:00:00Z,PEP,4,81,0.042294485
2000-08-31T00:00:00Z,CELG,4,81,0.419787252
2000-09-29T00:00:00Z,EOG,4,81,0.011236453
2000-10-31T00:00:00Z,PEP,5,81,0.146182512
2000-11-30T00:00:00Z,AAPL,5,81,-0.161633986
2000-12-29T00:00:00Z,PEP,5,81,0.014652222
2001-01-31T00:00:00Z,EOG,5,81,-0.204073357
2001-02-28T00:00:00Z,EOG,5,81,-0.007004992
2001-03-30T00:00:00Z,YUM,5,81,-0.012252178
2001-04-30T00:00:00Z,YUM,6,81,0.169734224
2001-05-31T00:00:00Z,PEP,6,81,0.084753493
2001-06-29T00:00:00Z,A,6,81,-0.150575107
2001-07-31T00:00:00Z,PEP,6,81,0.083774419
2001-08-31T00:00:00Z,AAPL,6,81,-0.015843079
2001-09-28T00:00:00Z,A,5,81,-0.086538486
